book_id,title,author,category,publisher,no_of_pages,quantity,,,,,
1,Introduction to Django,John Doe,Programming,DC Books,320,8,,,,,
2,Python Crash Course,Albert Smith,Programming,DC Books,420,6,,,,,
3,Data science for beginners,Emma johnson,Data science,DC Books,95,10,,,,,
4,Data Science Techniques,William Hall,Data science,DC Books,200,6,,,,,
5,Python for Data Analysis,Ava Martinez,Data science,DC Books,350,9,,,,,
6,Artificial intelligence basics,Michael Brown,Artificial intelligence,DC Books,115,7,,,,,
7,Deep Learning Fundamentals,Sophia White,Artificial intelligence,DC Books,300,8,,,,,
8,Machine Learning Mastery,Emily Davis,Machine Learning,DC Books,250,5,,,,,
9,Machine Learning Algorithms,Christopher Green,Machine Learning,DC Books,320,7,,,,,
10,Java Programming for Beginners,David Lee,Programming,DC Books,280,8,,,,,
11,C++ Programming Essentials,Sarah Johnson,Programming,DC Books,350,6,,,,,
12,JavaScript Basics,Andrew Miller,Programming,DC Books,200,9,,,,,
13,Deep Learning Techniques,Nora Wilson,Data science,DC Books,360,7,,,,,
14,Natural Language Processing Basics,Joshua Garcia,Data science,DC Books,320,5,,,,,
15,Computer Vision Fundamentals,Ethan Martin,Artificial intelligence,DC Books,400,6,,,,,
16,Reinforcement Learning Essentials,Sophie Lee,Artificial intelligence,DC Books,350,9,,,,,
17,Neural Networks Guide,David Harris,Artificial intelligence,DC Books,115,7,,,,,
18,Blockchain Technology Basics,Ava Wilson,Technology,DC Books,300,8,,,,,
19,Internet of Things (IoT) Explained,Michael Harris,Technology,DC Books,95,10,,,,,
20,Cybersecurity Essentials,Emily Johnson,Technology,DC Books,200,6,,,,,
21,Cloud Computing Fundamentals,Nathan Davis,Technology,DC Books,320,8,,,,,
22,Data Privacy and Ethics,Sophia White,Technology,DC Books,420,6,,,,,
23,Virtual Reality (VR) Fundamentals,Liam Johnson,Virtual reality,DC Books,95,10,,,,,
24,Augmented Reality (AR) Basics,Ella Martinez,Virtual reality,DC Books,200,6,,,,,
25,Holography Techniques,James Wilson,Virtual reality,DC Books,350,9,,,,,
26,VR Game Development Guide,Oliver Anderson,Virtual reality,DC Books,115,7,,,,,
27,World History Encyclopedia,Oliver Johnson,History,DC Books,300,8,,,,,
28,Ancient Civilizations Guide,Ella Garcia,History,DC Books,250,5,,,,,
29,Renaissance Era Overview,Chloe Brown,History,DC Books,320,7,,,,,
30,Medieval History Handbook,Liam Smith,History,DC Books,280,8,,,,,
